Complete,000102,p=1,v=3,"3:AAC BB^ B** B,A,C,1-++   1-+-   1+++   ","1-2-~3^","{{2,1,0},{1,0,0},{0,0,-1}}",1,7,13,
Complete,000103,p=1,v=3,"3:AAC BB^ B** B,A,C,1-+-   1-+-   1-++   ","1~2-~3^","{{2,-1,0},{-1,0,0},{0,0,-1}}",1,7,13,
Complete,000104,p=1,v=3,"3:AAC BB^ B** B,A,C,1--+   1---   1+++   ","1-2~~3^","{{2,1,0},{1,0,-2},{0,-2,-1}}",1,15,1,
Complete,000105,p=1,v=3,"3:AAC BB^ B** B,A,C,1---   1---   1-++   ","1~2~~3^","{{2,-1,0},{-1,0,-2},{0,-2,-1}}",1,15,1,
Complete,000106,p=1,v=3,"1:||^ A,3++-   ","1^-2^-3^-1","{{-1,1,1},{1,-1,1},{1,1,-1}}",-3,9,-15,
Complete,000107,p=1,v=3,"2:2||^ AA,2-+- 1++-   ","1^~2^-3^-1","{{-1,-1,1},{-1,-1,1},{1,1,-1}}",-3,9,-27,
Complete,000108,p=1,v=3,"2:2||^ AA,1--- 2-+-   ","1^~2^-3^~1","{{-1,-1,-1},{-1,-1,1},{-1,1,-1}}",-3,9,-15,
Complete,000109,p=1,v=3,"1:||^ A,3---   ","1^~2^~3^~1","{{-1,-1,-1},{-1,-1,-1},{-1,-1,-1}}",-3,9,-27,
Complete,000110,p=1,v=3,"3:AC^ B^^ B^* B,A,C,1++-   1+--   1+-+   ","1^^-2^-3^","{{-2,1,0},{1,-1,1},{0,1,0}}",-3,9,-21,
Complete,000111,p=1,v=3,"3:AC^ B^^ B^* B,A,C,1-+-   1---   1+-+   ","1^^~2^-3^","{{-2,-1,0},{-1,-1,1},{0,1,0}}",-3,9,-21,
Complete,000112,p=1,v=3,"3:AC^ B^^ B^* B,A,C,1+--   1+--   1--+   ","1^^-2^~3^","{{-2,1,0},{1,-1,-1},{0,-1,0}}",-3,9,-21,
Complete,000113,p=1,v=3,"3:AC^ B^^ B^* B,A,C,1---   1---   1--+   ","1^^~2^~3^","{{-2,-1,0},{-1,-1,-1},{0,-1,0}}",-3,9,-21,
Complete,000114,p=1,v=3,"2:AA* B^^ B,A,1+++   2+--   ","1^^-2-3^^","{{-2,1,0},{1,1,1},{0,1,-2}}",-3,13,-21,
Complete,000115,p=1,v=3,"3:AA* 2B^^ B,AA,1-++   1--- 1+--   ","1^^~2-3^^","{{-2,-1,0},{-1,1,1},{0,1,-2}}",-3,13,-21,
Complete,000116,p=1,v=3,"2:AA* B^^ B,A,1--+   2---   ","1^^~2~3^^","{{-2,-1,0},{-1,1,-1},{0,-1,-2}}",-3,13,-21,
Complete,000117,p=1,v=3,"3:ABB CC^ C^^ C,B,A,1+++   1++-   1+--   ","1^^-2=3^","{{-2,1,0},{1,0,2},{0,2,-1}}",-3,15,-27,
Complete,000118,p=1,v=3,"3:ABB CC^ C^^ C,B,A,1-++   1++-   1---   ","1^^~2=3^","{{-2,-1,0},{-1,0,2},{0,2,-1}}",-3,15,-27,
Complete,000119,p=1,v=3,"3:ABB CC^ C^^ C,B,A,1+-+   1-+-   1+--   ","1^^-2-~3^","{{-2,1,0},{1,0,0},{0,0,-1}}",-3,7,-15,
Complete,000120,p=1,v=3,"3:ABB CC^ C^^ C,B,A,1--+   1-+-   1---   ","1^^~2-~3^","{{-2,-1,0},{-1,0,0},{0,0,-1}}",-3,7,-15,
Complete,000121,p=1,v=3,"3:ABB CC^ C^^ C,B,A,1+--   1---   1+--   ","1^^-2~~3^","{{-2,1,0},{1,0,-2},{0,-2,-1}}",-3,15,-27,
Complete,000122,p=1,v=3,"3:ABB CC^ C^^ C,B,A,1---   1---   1---   ","1^^~2~~3^","{{-2,-1,0},{-1,0,-2},{0,-2,-1}}",-3,15,-27,
Complete,000123,p=1,v=3,"3:AC* B^* B** B,A,C,1+++   1+-+   1+++   ","1^-2-3","{{0,1,0},{1,1,1},{0,1,2}}",3,9,21,
Complete,000124,p=1,v=3,"3:AC* B^* B** B,A,C,1-++   1--+   1+++   ","1^~2-3","{{0,-1,0},{-1,1,1},{0,1,2}}",3,9,21,
Complete,000125,p=1,v=3,"3:AC* B^* B** B,A,C,1+-+   1+-+   1-++   ","1^-2~3","{{0,1,0},{1,1,-1},{0,-1,2}}",3,9,21,
Complete,000126,p=1,v=3,"3:AC* B^* B** B,A,C,1--+   1--+   1-++   ","1^~2~3","{{0,-1,0},{-1,1,-1},{0,-1,2}}",3,9,21,
Complete,000127,p=1,v=3,"1:||* A,3+++   ","1-2-3-1","{{1,1,1},{1,1,1},{1,1,1}}",3,9,27,
Complete,000128,p=1,v=3,"2:2||* AA,2-++ 1+++   ","1~2-3-1","{{1,-1,1},{-1,1,1},{1,1,1}}",3,9,15,
Complete,000129,p=1,v=3,"2:2||* AA,1--+ 2-++   ","1~2-3~1","{{1,-1,-1},{-1,1,1},{-1,1,1}}",3,9,27,
Complete,000130,p=1,v=3,"1:||* A,3--+   ","1~2~3~1","{{1,-1,-1},{-1,1,-1},{-1,-1,1}}",3,9,15,
Complete,000131,p=1,v=3,"2:A** BB^ B,A,2+++   1++-   ","1-2^-3","{{2,1,0},{1,-1,1},{0,1,2}}",3,13,21,
Complete,000132,p=1,v=3,"3:2A** BB^ BB,A,1-++ 1+++   1-+-   ","1~2^-3","{{2,-1,0},{-1,-1,1},{0,1,2}}",3,13,21,
Complete,000133,p=1,v=3,"2:A** BB^ B,A,2-++   1---   ","1~2^~3","{{2,-1,0},{-1,-1,-1},{0,-1,2}}",3,13,21,
Complete,000134,p=1,v=3,"3:AA* A** BBC B,C,A,1+++   1+++   1+++   ","1-2=3","{{2,1,0},{1,0,2},{0,2,1}}",3,15,27,
Complete,000135,p=1,v=3,"3:AA* A** BBC B,C,A,1+++   1-++   1++-   ","1~2=3","{{2,-1,0},{-1,0,2},{0,2,1}}",3,15,27,
Complete,000136,p=1,v=3,"3:AA* A** BBC B,C,A,1-++   1+++   1-++   ","1-2-~3","{{2,1,0},{1,0,0},{0,0,1}}",3,7,15,
Complete,000137,p=1,v=3,"3:AA* A** BBC B,C,A,1-++   1-++   1-+-   ","1~2-~3","{{2,-1,0},{-1,0,0},{0,0,1}}",3,7,15,
Complete,000138,p=1,v=3,"3:AA* A** BBC B,C,A,1--+   1+++   1--+   ","1-2~~3","{{2,1,0},{1,0,-2},{0,-2,1}}",3,15,27,
Complete,000139,p=1,v=3,"3:AA* A** BBC B,C,A,1--+   1-++   1---   ","1~2~~3","{{2,-1,0},{-1,0,-2},{0,-2,1}}",3,15,27,
Complete,000140,p=1,v=3,"2:AA^ B^^ B,A,1++-   2+--   ","1^^-2^-3^^","{{-2,1,0},{1,-1,1},{0,1,-2}}",-5,13,-35,
Complete,000141,p=1,v=3,"3:AA^ 2B^^ B,AA,1-+-   1--- 1+--   ","1^^~2^-3^^","{{-2,-1,0},{-1,-1,1},{0,1,-2}}",-5,13,-35,
Complete,000142,p=1,v=3,"2:AA^ B^^ B,A,1---   2---   ","1^^~2^~3^^","{{-2,-1,0},{-1,-1,-1},{0,-1,-2}}",-5,13,-35,
Complete,000143,p=1,v=3,"2:A** BB* B,A,2+++   1+++   ","1-2-3","{{2,1,0},{1,1,1},{0,1,2}}",5,13,35,
Complete,000144,p=1,v=3,"3:2A** BB* BB,A,1-++ 1+++   1-++   ","1~2-3","{{2,-1,0},{-1,1,1},{0,1,2}}",5,13,35,
Complete,000145,p=1,v=3,"2:A** BB* B,A,2-++   1--+   ","1~2~3","{{2,-1,0},{-1,1,-1},{0,-1,2}}",5,13,35,
